id,user_id,created,updated,title,age_group_ids,auto_created,item_ids,code,account_ids,delivery,eat_in,takeaway,discount,discount_type,start_date_time,end_date_time,freebie_id,monday_from,monday_to,tuesday_from,tuesday_to,wednesday_from,wednesday_to,thursday_from,thursday_to,friday_from,friday_to,saturday_from,saturday_to,sunday_from,sunday_to,gender_ids,goodie_bag_id,maximum_cltv,maximum_orders,minimum_cltv,minimum_orders,minimum_spend,parent_id,area_ids,place_id,price,provider,redemptions,redemptions_per_customer,status,table_id,tier_category_ids,type,used_redemptions,validity_hours,value,variation,visibility
72928,417,2021-10-10 13:05:00+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72744.0,,,,,Percentage,2021-10-10 15:05:00+00:00,2021-10-20 15:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72930,417,2021-10-10 13:14:01+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72753.0,,,,,Percentage,2021-10-10 15:14:01+00:00,2021-10-20 15:14:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72932,417,2021-10-10 15:37:00+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72775.0,,,,,Percentage,2021-10-10 17:37:00+00:00,2021-10-20 17:37:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72934,417,2021-10-10 15:38:00+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72720.0,,,,,Percentage,2021-10-10 17:38:00+00:00,2021-10-20 17:38:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72936,417,2021-10-10 16:41:01+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72831.0,,,,,Percentage,2021-10-10 18:41:01+00:00,2021-10-20 18:41:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72938,417,2021-10-10 16:42:00+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72804.0,,,,,Percentage,2021-10-10 18:42:00+00:00,2021-10-20 18:42:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72939,417,2021-10-10 16:42:00+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72821.0,,,,,Percentage,2021-10-10 18:42:00+00:00,2021-10-20 18:42:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72965,417,2021-10-10 17:31:00+00:00,2022-08-02 23:26:30+00:00,2 for 1 on Pizza,,0.0,72091,,72862.0,,,,,Percentage,2021-10-10 19:31:00+00:00,2021-10-20 19:31:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72972,417,2021-10-11 11:41:46+00:00,2022-08-02 23:26:30+00:00,20% discount on Hovedretter,,1.0,64280,,,,,,20.0,Percentage,2021-10-01 11:32:24+00:00,2021-10-11 11:32:24+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,64276,,,1,,Inactive,,,Discount on specific menu items,0,336.0,,,
73010,417,2021-10-11 17:07:01+00:00,2022-08-02 23:26:30+00:00,2 for 1 on Pizza,,0.0,72091,,72942.0,,,,,Percentage,2021-10-11 19:07:01+00:00,2021-10-21 19:07:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
