"id","user_id","created","updated","place_id","status","type"
76309,417,1636368438,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76313,417,1636368438,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76319,417,1636368439,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76324,417,1636368439,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76328,417,1636368440,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76333,417,1636368440,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76337,417,1636368440,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76343,417,1636368441,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76349,417,1636368441,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76369,417,1636368443,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76427,417,1636368448,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76443,417,1636368449,1659483179,59897,Inactive,"2 for 1 on specific menu items"
76454,417,1636368450,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76464,417,1636368451,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76506,417,1636368454,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76540,417,1636368457,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76565,417,1636368459,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76580,417,1636368460,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76594,417,1636368461,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76603,417,1636368462,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76614,417,1636368463,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76631,417,1636368464,1659483217,59897,Inactive,"2 for 1 on specific menu items"
76640,417,1636368465,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76653,417,1636368466,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76664,417,1636368467,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76690,417,1636368469,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76703,417,1636368470,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76728,417,1636368472,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76754,417,1636368474,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76768,417,1636368475,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76780,417,1636368476,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76798,417,1636368478,1659483254,59897,Inactive,"2 for 1 on specific menu items"
76819,417,1636368479,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76821,417,1636368480,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76872,417,1636368491,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76874,417,1636368491,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76875,417,1636368491,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76877,417,1636368491,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76880,417,1636368492,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76887,417,1636368493,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76889,417,1636368494,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76893,417,1636368495,1659483291,59897,Inactive,"2 for 1 on specific menu items"
76896,417,1636368496,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76898,417,1636368497,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76912,417,1636368499,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76928,417,1636368501,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76931,417,1636368501,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76936,417,1636368502,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76951,417,1636368505,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76952,417,1636368504,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76953,417,1636368505,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76962,417,1636368507,1659483330,59897,Inactive,"2 for 1 on specific menu items"
76966,417,1636368507,1659483370,59897,Inactive,"2 for 1 on specific menu items"
76997,417,1636368509,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77000,417,1636368510,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77013,417,1636368511,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77023,417,1636368512,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77043,417,1636368514,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77052,417,1636368515,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77054,417,1636368547,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77055,417,1636368547,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77057,417,1636368548,1659483370,59897,Inactive,"2 for 1 on specific menu items"
77058,417,1636368548,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77062,417,1636368549,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77063,417,1636368549,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77064,417,1636368549,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77065,417,1636368549,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77069,417,1636368549,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77072,417,1636368552,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77074,417,1636368554,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77076,417,1636368556,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77078,417,1636368558,1659483409,59897,Inactive,"2 for 1 on specific menu items"
77080,417,1636368561,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77132,417,1636502406,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77133,417,1636502406,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77139,417,1636502407,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77143,417,1636502407,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77148,417,1636502408,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77150,417,1636502408,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77153,417,1636502409,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77158,417,1636502410,1659483447,59897,Inactive,"2 for 1 on specific menu items"
77197,417,1636653061,1659483447,64276,Inactive,Discount on specific menu items
77247,417,1636714532,1659483486,59813,Inactive,"2 for 1 on specific menu items"
77252,417,1636718401,1659483486,59897,Inactive,"2 for 1 on specific menu items"
77253,417,1636718401,1659483486,59897,Inactive,"2 for 1 on specific menu items"
77254,417,1636718401,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77255,417,1636718401,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77256,417,1636718402,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77257,417,1636718402,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77264,417,1636718403,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77453,417,1636891201,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77454,417,1636891201,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77455,417,1636891201,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77456,417,1636891201,1659483495,59897,Inactive,"2 for 1 on specific menu items"
77457,417,1636891201,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77458,417,1636891201,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77467,417,1636960920,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77468,417,1636960921,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77471,417,1636960980,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77472,417,1636960981,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77477,1372,1636972457,1659483531,59813,Inactive,"2 for 1 on specific menu items"
77484,1372,1636983253,1659483531,64276,Inactive,Discount on total bill
77531,417,1637064000,1659483531,59897,Inactive,"2 for 1 on specific menu items"
77532,1372,1637064000,1659483531,64276,Inactive,Discount on total bill
77533,1372,1637064000,1659483561,64276,Inactive,Discount on total bill
77534,1372,1637064000,1659483561,64276,Inactive,Discount on total bill
77535,417,1637064000,1659483561,59897,Inactive,"2 for 1 on specific menu items"
77536,417,1637064000,1659483561,59897,Inactive,"2 for 1 on specific menu items"
77537,1372,1637064001,1659483561,64276,Inactive,Discount on total bill
77540,417,1637064001,1659483561,59897,Inactive,"2 for 1 on specific menu items"
77547,417,1637064002,1659483561,59897,Inactive,"2 for 1 on specific menu items"
77550,417,1637088481,1659483561,59897,Inactive,"2 for 1 on specific menu items"
77603,1372,1637236801,1659483561,64276,Inactive,Discount on total bill
77604,1372,1637236801,1659483561,64276,Inactive,Discount on total bill
77605,1372,1637236801,1659483584,64276,Inactive,Discount on total bill
77606,417,1637236801,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77607,417,1637236801,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77608,417,1637236801,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77609,417,1637236802,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77610,1372,1637236802,1659483584,64276,Inactive,Discount on total bill
77619,417,1637236807,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77735,417,1637339580,1659483584,59897,Inactive,"2 for 1 on specific menu items"
77764,417,1637355601,1659483610,64276,Inactive,Discount on specific menu items
77800,1372,1637409600,1659483610,64276,Inactive,Discount on total bill
77801,417,1637409600,1659483610,59897,Inactive,"2 for 1 on specific menu items"
77802,1372,1637409600,1659483610,64276,Inactive,Discount on total bill
77803,1372,1637409600,1659483610,64276,Inactive,Discount on total bill
77804,1372,1637409600,1659483610,64276,Inactive,Discount on total bill
77805,417,1637409601,1659483610,59897,Inactive,"2 for 1 on specific menu items"
77812,417,1637409602,1659483610,59897,Inactive,"2 for 1 on specific menu items"
77813,417,1637409602,1659483610,59897,Inactive,"2 for 1 on specific menu items"
77816,417,1637413440,1659483610,59897,Inactive,"2 for 1 on specific menu items"
77862,1372,1637582400,1659483636,64276,Inactive,Discount on total bill
77863,1372,1637582400,1659483636,64276,Inactive,Discount on total bill
77864,417,1637582400,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77865,417,1637582400,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77866,1372,1637582400,1659483636,64276,Inactive,Discount on total bill
77867,417,1637582400,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77868,417,1637582401,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77876,1372,1637582401,1659483636,64276,Inactive,Discount on total bill
77911,417,1637691061,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77935,417,1637755201,1659483636,59897,Inactive,"2 for 1 on specific menu items"
77936,1372,1637755201,1659483662,64276,Inactive,Discount on total bill
77937,1372,1637755201,1659483662,64276,Inactive,Discount on total bill
77938,1372,1637755201,1659483662,64276,Inactive,Discount on total bill
77939,1372,1637755201,1659483662,64276,Inactive,Discount on total bill
77945,417,1637755202,1659483662,59897,Inactive,"2 for 1 on specific menu items"
77993,417,1637846461,1659483662,59897,Inactive,"2 for 1 on specific menu items"
77995,417,1637869621,1659483662,64276,Inactive,Discount on specific menu items
78014,1372,1637928000,1659483662,64276,Inactive,Discount on total bill
78015,1372,1637928000,1659483662,64276,Inactive,Discount on total bill
78016,417,1637928000,1659483662,59897,Inactive,"2 for 1 on specific menu items"
78017,1372,1637928000,1659483680,64276,Inactive,Discount on total bill
78018,1372,1637928000,1659483680,64276,Inactive,Discount on total bill
78027,1372,1638014405,1659483680,59813,Inactive,"2 for 1 on specific menu items"
78139,1372,1638100801,1659483680,64276,Inactive,Discount on total bill
78140,1372,1638100801,1659483680,64276,Inactive,Discount on total bill
78141,417,1638100801,1659483680,59897,Inactive,"2 for 1 on specific menu items"
78142,417,1638100801,1659483680,59897,Inactive,"2 for 1 on specific menu items"
78143,1372,1638100801,1659483680,64276,Inactive,Discount on total bill
78149,417,1638111901,1659483680,59897,Inactive,"2 for 1 on specific menu items"
78152,417,1638117481,1659483680,59897,Inactive,"2 for 1 on specific menu items"
78168,417,1638133201,1659483700,59897,Inactive,"2 for 1 on specific menu items"
78169,417,1638133201,1659483700,59897,Inactive,"2 for 1 on specific menu items"
78271,417,1638273600,1659483721,59897,Inactive,"2 for 1 on specific menu items"
78272,1372,1638273600,1659483721,64276,Inactive,Discount on total bill
78273,1372,1638273600,1659483721,64276,Inactive,Discount on total bill
78274,1372,1638273600,1659483721,64276,Inactive,Discount on total bill
78275,417,1638273601,1659483721,59897,Inactive,"2 for 1 on specific menu items"
78276,417,1638273601,1659483733,59897,Inactive,"2 for 1 on specific menu items"
78345,1372,1638446400,1659483733,64276,Inactive,Discount on total bill
78346,1372,1638446400,1659483733,64276,Inactive,Discount on total bill
78347,417,1638446400,1659483733,59897,Inactive,"2 for 1 on specific menu items"
78348,417,1638446400,1659483733,59897,Inactive,"2 for 1 on specific menu items"
78349,417,1638446400,1659483733,59897,Inactive,"2 for 1 on specific menu items"
78355,1372,1638446401,1659483733,64276,Inactive,Discount on total bill
78473,1372,1638619200,1659483733,64276,Inactive,Discount on total bill
78474,1372,1638619200,1659483733,64276,Inactive,Discount on total bill
78475,417,1638619200,1659483733,59897,Inactive,"2 for 1 on specific menu items"
78476,1372,1638619200,1659483756,64276,Inactive,Discount on total bill
78477,417,1638619201,1659483756,59897,Inactive,"2 for 1 on specific menu items"
78503,417,1638634801,1659483756,59897,Inactive,"2 for 1 on specific menu items"
78505,417,1638641581,1659483756,59897,Inactive,"2 for 1 on specific menu items"
78534,417,1638715741,1659483756,59897,Inactive,"2 for 1 on specific menu items"
78568,1372,1638792000,1659483756,64276,Inactive,Discount on total bill
78569,417,1638792000,1659483756,59897,Inactive,"2 for 1 on specific menu items"
78570,1372,1638792000,1659483756,64276,Inactive,Discount on total bill
78571,1372,1638792000,1659483756,64276,Inactive,Discount on total bill
78591,1372,1638964800,1659483756,64276,Inactive,Discount on total bill
78592,417,1638964800,1659483782,59897,Inactive,"2 for 1 on specific menu items"
78593,1372,1638964800,1659483782,64276,Inactive,Discount on total bill
78594,1372,1638964800,1659483782,64276,Inactive,Discount on total bill
78643,417,1639065361,1659483782,59897,Inactive,"2 for 1 on specific menu items"
78657,417,1639077541,1659483782,59897,Inactive,"2 for 1 on specific menu items"
78681,1372,1639137601,1659483782,64276,Inactive,Discount on total bill
78682,1372,1639137601,1659483782,64276,Inactive,Discount on total bill
78683,1372,1639137601,1659483782,64276,Inactive,Discount on total bill
78684,417,1639137601,1659483782,59897,Inactive,"2 for 1 on specific menu items"
78689,417,1639164181,1659483782,59897,Inactive,"2 for 1 on specific menu items"
78716,417,1639224001,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78747,417,1639300500,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78749,1372,1639310400,1659483807,64276,Inactive,Discount on total bill
78750,1372,1639310400,1659483807,64276,Inactive,Discount on total bill
78751,417,1639310400,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78755,1372,1639310401,1659483807,64276,Inactive,Discount on total bill
78756,417,1639310401,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78764,417,1639396801,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78787,1372,1639483201,1659483807,64276,Inactive,Discount on total bill
78788,417,1639483201,1659483807,59897,Inactive,"2 for 1 on specific menu items"
78789,417,1639483201,1659483837,59897,Inactive,"2 for 1 on specific menu items"
